"ID","see_OI","see_arabic","see_english","no_spell","OI.influence.open","spelling.preference","OI.importance","OI.open","vision.hearing","prop_distraction","headphones","age","gender","education","nationality","location","L1","readingprofscore","level","prof_test_score","same_day","Participant.Device.Type","OI","meanRT","meanD.prime","correct"
"4986649","start","easier","easier","difficult","written words are much easier to remember and to associate with the right item","in_english","yes","notice the difference between v and f better","Yes",0,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",12,1,"mobile","English",1343.38461538462,1.56392107246154,13
"4986649","start","easier","easier","difficult","written words are much easier to remember and to associate with the right item","in_english","yes","notice the difference between v and f better","Yes",0,"earphones",34,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",12,1,"mobile","no",1121.27272727273,1.04318769645455,11
"4988179","start","no_diff","easier","easier","it better to read and listen ","in_english","yes","easy to pronounce it","Yes",0.23,"no_headphones",36,"f","bachelors","Saudi","Saudi Arabia","Arabic",4,"intermediate",7,0,"tablet","Arabic",1406.90909090909,1.14924223145455,11
"4988179","start","no_diff","easier","easier","it better to read and listen ","in_english","yes","easy to pronounce it","Yes",0.23,"no_headphones",36,"f","bachelors","Saudi","Saudi Arabia","Arabic",4,"intermediate",7,0,"tablet","English",1226.44444444444,0.420639473888889,9
"4988179","start","no_diff","easier","easier","it better to read and listen ","in_english","yes","easy to pronounce it","Yes",0.23,"no_headphones",36,"f","bachelors","Saudi","Saudi Arabia","Arabic",4,"intermediate",7,0,"tablet","no",1651.93333333333,2.20976597293333,15
"4988182","end","easier","easier","difficult","yes","in_arabic","yes","<U+0633><U+0647><U+0644><U+0629> <U+0627><U+0644><U+062D><U+0641><U+0638>","Yes",0.56,"no_headphones",36,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",11,1,"mobile","Arabic",1196.85714285714,0.174664590428571,7
"4988182","end","easier","easier","difficult","yes","in_arabic","yes","<U+0633><U+0647><U+0644><U+0629> <U+0627><U+0644><U+062D><U+0641><U+0638>","Yes",0.56,"no_headphones",36,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",11,1,"mobile","English",1255.77777777778,1.11984015711111,9
"4988182","end","easier","easier","difficult","yes","in_arabic","yes","<U+0633><U+0647><U+0644><U+0629> <U+0627><U+0644><U+062D><U+0641><U+0638>","Yes",0.56,"no_headphones",36,"f","masters","Saudi","Saudi Arabia","Arabic",5,"advanced",11,1,"mobile","no",1128.63636363636,0.937391996454546,11
"4990048","middle","no_notice","easier","no_notice","yes","in_english","yes","so later I know he w the word is ","Yes",0.1,"earphones",14,"f","secondary","Saudi","Saudi Arabia","Arabic",4,"nearnative",12,1,"mobile","Arabic",1285.88888888889,1.11984015711111,9
"4990048","middle","no_notice","easier","no_notice","yes","in_english","yes","so later I know he w the word is ","Yes",0.1,"earphones",14,"f","secondary","Saudi","Saudi Arabia","Arabic",4,"nearnative",12,1,"mobile","English",1169.26666666667,2.20976597293333,15
"4990048","middle","no_notice","easier","no_notice","yes","in_english","yes","so later I know he w the word is ","Yes",0.1,"earphones",14,"f","secondary","Saudi","Saudi Arabia","Arabic",4,"nearnative",12,1,"mobile","no",1321.42857142857,2.013866746,14
"5000407","start","no_diff","easier","difficult","<U+0646><U+0639><U+0645> ","in_english","yes","<U+0644><U+0644><U+062A><U+0623><U+0643><U+062F> <U+0645><U+0646> <U+0635><U+062D><U+0629> <U+0645><U+0627> <U+0627><U+0633><U+062A><U+0645><U+0639><U+062A> <U+0625><U+0644><U+064A><U+0647>","Yes",0.79,"earphones",29,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"mobile","Arabic",1569.37,1.7941721916,10
"5000407","start","no_diff","easier","difficult","<U+0646><U+0639><U+0645> ","in_english","yes","<U+0644><U+0644><U+062A><U+0623><U+0643><U+062F> <U+0645><U+0646> <U+0635><U+062D><U+0629> <U+0645><U+0627> <U+0627><U+0633><U+062A><U+0645><U+0639><U+062A> <U+0625><U+0644><U+064A><U+0647>","Yes",0.79,"earphones",29,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"mobile","English",2319.38333333333,1.27197225925,12
"5000407","start","no_diff","easier","difficult","<U+0646><U+0639><U+0645> ","in_english","yes","<U+0644><U+0644><U+062A><U+0623><U+0643><U+062F> <U+0645><U+0646> <U+0635><U+062D><U+0629> <U+0645><U+0627> <U+0627><U+0633><U+062A><U+0645><U+0639><U+062A> <U+0625><U+0644><U+064A><U+0647>","Yes",0.79,"earphones",29,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"mobile","no",1543.80769230769,1.77898673946154,13
"5000759","no_see","easier","no_diff","easier","<U+0643><U+0628><U+064A><U+0631>
","no_OI","no","<U+0627><U+0646><U+0627> <U+0634><U+062E><U+0635><U+064A><U+0629> <U+0633><U+0645><U+0639><U+064A><U+0629>
","Yes",0.14,"no_headphones",43,"f","bachelors","Egyptian","Egypt","Arabic",4,"intermediate",8,1,"mobile","Arabic",1713.78,1.1068463007,10
"5000759","no_see","easier","no_diff","easier","<U+0643><U+0628><U+064A><U+0631>
","no_OI","no","<U+0627><U+0646><U+0627> <U+0634><U+062E><U+0635><U+064A><U+0629> <U+0633><U+0645><U+0639><U+064A><U+0629>
","Yes",0.14,"no_headphones",43,"f","bachelors","Egyptian","Egypt","Arabic",4,"intermediate",8,1,"mobile","English",2592.62307692308,1.86850617792308,13
"5000759","no_see","easier","no_diff","easier","<U+0643><U+0628><U+064A><U+0631>
","no_OI","no","<U+0627><U+0646><U+0627> <U+0634><U+062E><U+0635><U+064A><U+0629> <U+0633><U+0645><U+0639><U+064A><U+0629>
","Yes",0.14,"no_headphones",43,"f","bachelors","Egyptian","Egypt","Arabic",4,"intermediate",8,1,"mobile","no",1661.24545454545,1.04318769645455,11
"5000809","start","no_diff","no_diff","difficult","<U+0627><U+0644><U+0643><U+0644><U+0643><U+0627><U+062A> <U+0627><U+0644><U+0645><U+0643><U+062A><U+0629><U+0628><U+0629> <U+062A><U+0633><U+0627><U+0639><U+062F> <U+0639><U+0644><U+0649> <U+0627><U+0644><U+062A><U+0630><U+0643><U+0631> <U+0628><U+0642><U+0648><U+0629>","in_english","yes","<U+0644><U+0623><U+0646><U+0647><U+0627> <U+062A><U+0633><U+0647><U+0644> <U+0639><U+0645><U+0644><U+064A><U+0629> <U+062D><U+0641><U+0638><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0645><U+0631><U+0626><U+064A><U+0629> <U+0648> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0645><U+0639> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0633><U+0645><U+0639><U+064A><U+0629>","Yes",0.76,"no_headphones",43,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"computer","Arabic",2964.57142857143,2.013866746,14
"5000809","start","no_diff","no_diff","difficult","<U+0627><U+0644><U+0643><U+0644><U+0643><U+0627><U+062A> <U+0627><U+0644><U+0645><U+0643><U+062A><U+0629><U+0628><U+0629> <U+062A><U+0633><U+0627><U+0639><U+062F> <U+0639><U+0644><U+0649> <U+0627><U+0644><U+062A><U+0630><U+0643><U+0631> <U+0628><U+0642><U+0648><U+0629>","in_english","yes","<U+0644><U+0623><U+0646><U+0647><U+0627> <U+062A><U+0633><U+0647><U+0644> <U+0639><U+0645><U+0644><U+064A><U+0629> <U+062D><U+0641><U+0638><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0645><U+0631><U+0626><U+064A><U+0629> <U+0648> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0645><U+0639> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0633><U+0645><U+0639><U+064A><U+0629>","Yes",0.76,"no_headphones",43,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"computer","English",2358.23,1.0370211387,10
"5000809","start","no_diff","no_diff","difficult","<U+0627><U+0644><U+0643><U+0644><U+0643><U+0627><U+062A> <U+0627><U+0644><U+0645><U+0643><U+062A><U+0629><U+0628><U+0629> <U+062A><U+0633><U+0627><U+0639><U+062F> <U+0639><U+0644><U+0649> <U+0627><U+0644><U+062A><U+0630><U+0643><U+0631> <U+0628><U+0642><U+0648><U+0629>","in_english","yes","<U+0644><U+0623><U+0646><U+0647><U+0627> <U+062A><U+0633><U+0647><U+0644> <U+0639><U+0645><U+0644><U+064A><U+0629> <U+062D><U+0641><U+0638><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0645><U+0631><U+0626><U+064A><U+0629> <U+0648> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0645><U+0639> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+0627><U+0644><U+0633><U+0645><U+0639><U+064A><U+0629>","Yes",0.76,"no_headphones",43,"f","masters","Egyptian","Egypt","Arabic",5,"advanced",12,1,"computer","no",2210.76,0.7689309396,10
"5000812","middle","easier","no_diff","easier","huge","in_english","yes","to know more ","Yes",0,"no_headphones",30,"f","masters","Egyptian","Egypt","Arabic",3,"intermediate",7,1,"mobile","Arabic",3017.54166666667,1.70873542066667,12
"5000812","middle","easier","no_diff","easier","huge","in_english","yes","to know more ","Yes",0,"no_headphones",30,"f","masters","Egyptian","Egypt","Arabic",3,"intermediate",7,1,"mobile","English",4247.20769230769,1.86850617792308,13
"5000812","middle","easier","no_diff","easier","huge","in_english","yes","to know more ","Yes",0,"no_headphones",30,"f","masters","Egyptian","Egypt","Arabic",3,"intermediate",7,1,"mobile","no",3003.75454545455,1.14924223145455,11
"5000814","start","no_diff","easier","difficult","<U+0641><U+0631><U+0642> <U+0643><U+0628><U+064A><U+0631>","in_english","yes","i may hear wrong","Yes",0.51,"no_headphones",36,"f","bachelors","Egyptian","Egypt","Arabic",4,"advanced",12,1,"mobile","Arabic",1984.98181818182,1.14924223145455,11
"5000814","start","no_diff","easier","difficult","<U+0641><U+0631><U+0642> <U+0643><U+0628><U+064A><U+0631>","in_english","yes","i may hear wrong","Yes",0.51,"no_headphones",36,"f","bachelors","Egyptian","Egypt","Arabic",4,"advanced",12,1,"mobile","English",2087.54,2.20976597293333,15
"5000814","start","no_diff","easier","difficult","<U+0641><U+0631><U+0642> <U+0643><U+0628><U+064A><U+0631>","in_english","yes","i may hear wrong","Yes",0.51,"no_headphones",36,"f","bachelors","Egyptian","Egypt","Arabic",4,"advanced",12,1,"mobile","no",1592.15333333333,2.20976597293333,15
"5003012","start","difficult","easier","difficult","<U+0646><U+0639><U+0645><U+060C> <U+0627><U+0644><U+0649> <U+0645><U+062F><U+0649> <U+0645><U+062A><U+0648><U+0633><U+0637>","in_english","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0639><U+0644><U+0649> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0628><U+0627><U+0644><U+0635><U+0648><U+0631><U+0629> <U+0648> <U+062A><U+062E><U+0632><U+064A><U+0646><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+064A><U+0643><U+0648><U+0646> <U+0627><U+0633><U+0647><U+0644> <U+0648> <U+0627><U+0633><U+0631><U+0639>
","Yes",0.66,"no_headphones",27,"f","masters","Algerian","UK","Arabic",5,"advanced",11,1,"mobile","Arabic",2103.97142857143,-0.224743077,7
"5003012","start","difficult","easier","difficult","<U+0646><U+0639><U+0645><U+060C> <U+0627><U+0644><U+0649> <U+0645><U+062F><U+0649> <U+0645><U+062A><U+0648><U+0633><U+0637>","in_english","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0639><U+0644><U+0649> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0628><U+0627><U+0644><U+0635><U+0648><U+0631><U+0629> <U+0648> <U+062A><U+062E><U+0632><U+064A><U+0646><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+064A><U+0643><U+0648><U+0646> <U+0627><U+0633><U+0647><U+0644> <U+0648> <U+0627><U+0633><U+0631><U+0639>
","Yes",0.66,"no_headphones",27,"f","masters","Algerian","UK","Arabic",5,"advanced",11,1,"mobile","English",1877.9,0.420639473888889,9
"5003012","start","difficult","easier","difficult","<U+0646><U+0639><U+0645><U+060C> <U+0627><U+0644><U+0649> <U+0645><U+062F><U+0649> <U+0645><U+062A><U+0648><U+0633><U+0637>","in_english","yes","<U+062A><U+0633><U+0627><U+0639><U+062F><U+0646><U+064A> <U+0639><U+0644><U+0649> <U+0631><U+0628><U+0637><U+0647><U+0627> <U+0628><U+0627><U+0644><U+0635><U+0648><U+0631><U+0629> <U+0648> <U+062A><U+062E><U+0632><U+064A><U+0646><U+0647><U+0627> <U+0641><U+064A> <U+0627><U+0644><U+0630><U+0627><U+0643><U+0631><U+0629> <U+064A><U+0643><U+0648><U+0646> <U+0627><U+0633><U+0647><U+0644> <U+0648> <U+0627><U+0633><U+0631><U+0639>
","Yes",0.66,"no_headphones",27,"f","masters","Algerian","UK","Arabic",5,"advanced",11,1,"mobile","no",13204.7727272727,1.65757926263636,11
"5003015","start","no_diff","easier","easier","Yes it did just to distinguish between the letters that are close in pronunciation ","in_english","yes","To memorise it correctly ","Yes",0.08,"earphones",30,"f","doctorate","Algerian","UK","Arabic",5,"advanced",12,1,"computer","Arabic",1935.79045454545,0.810437155909091,11
"5003015","start","no_diff","easier","easier","Yes it did just to distinguish between the letters that are close in pronunciation ","in_english","yes","To memorise it correctly ","Yes",0.08,"earphones",30,"f","doctorate","Algerian","UK","Arabic",5,"advanced",12,1,"computer","English",2013.14533333333,2.20976597293333,15
"5003015","start","no_diff","easier","easier","Yes it did just to distinguish between the letters that are close in pronunciation ","in_english","yes","To memorise it correctly ","Yes",0.08,"earphones",30,"f","doctorate","Algerian","UK","Arabic",5,"advanced",12,1,"computer","no",1586.87833333333,1.70873542066667,12
"5003019","end","no_notice","easier","easier","not too much","in_english","no","i don`t need","Yes",0.57,"earphones",32,"m","secondary","Algerian","Algeria ","Arabic",5,"advanced",11,1,"computer","Arabic",1413.02857142857,-0.324493308428571,7
"5003019","end","no_notice","easier","easier","not too much","in_english","no","i don`t need","Yes",0.57,"earphones",32,"m","secondary","Algerian","Algeria ","Arabic",5,"advanced",11,1,"computer","English",1704.19090909091,0.916232855909091,11
"5003019","end","no_notice","easier","easier","not too much","in_english","no","i don`t need","Yes",0.57,"earphones",32,"m","secondary","Algerian","Algeria ","Arabic",5,"advanced",11,1,"computer","no",1321.42,-0.8738110418,5
"5003021","no_see","no_diff","no_diff","no_diff","<U+0627><U+0644><U+0649> <U+0645><U+062F><U+0649> <U+0635><U+063A><U+064A><U+0631>","#N/A","#N/A","#N/A","Yes",0,"earphones",30,"f","doctorate","Algerian","Algeria ","Arabic",5,"advanced",12,1,"mobile","Arabic",2186.81,0.524400513,10
"5003021","no_see","no_diff","no_diff","no_diff","<U+0627><U+0644><U+0649> <U+0645><U+062F><U+0649> <U+0635><U+063A><U+064A><U+0631>","#N/A","#N/A","#N/A","Yes",0,"earphones",30,"f","doctorate","Algerian","Algeria ","Arabic",5,"advanced",12,1,"mobile","English",2171.01,0.7689309396,10
"5003021","no_see","no_diff","no_diff","no_diff","<U+0627><U+0644><U+0649> <U+0645><U+062F><U+0649> <U+0635><U+063A><U+064A><U+0631>","#N/A","#N/A","#N/A","Yes",0,"earphones",30,"f","doctorate","Algerian","Algeria ","Arabic",5,"advanced",12,1,"mobile","no",2764.48,0.7689309396,10
"5003023","middle","difficult","easier","no_diff","<U+0644><U+0627> <U+0644><U+0627> <U+064A><U+0648><U+062C><U+062F> <U+0641><U+0631><U+0642>","in_english","yes","<U+0644><U+0643><U+064A> <U+0627><U+0631><U+0628><U+0637> <U+0641><U+064A> <U+0630><U+0647><U+0646><U+064A> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0629> <U+0627><U+0644><U+0645><U+0643><U+062A><U+0648><U+0628><U+0629> <U+0645><U+0639> <U+0627><U+0644><U+0635><U+0648><U+062A> ... <U+0627><U+062D><U+0641><U+0638> <U+0627><U+0644><U+0646><U+0637><U+0642> <U+0648> <U+0627><U+0644><U+0643><U+062A><U+0627><U+0628><U+0629> <U+0645><U+0639><U+0627> <U+0641><U+064A> <U+0646><U+0641><U+0633> <U+0627><U+0644><U+0648><U+0642><U+062A>","Yes",0,"earphones",28,"f","masters","Algerian","Algeria ","Arabic",4,"advanced",12,1,"computer","Arabic",1338.37333333333,2.20976597293333,15
"5003023","middle","difficult","easier","no_diff","<U+0644><U+0627> <U+0644><U+0627> <U+064A><U+0648><U+062C><U+062F> <U+0641><U+0631><U+0642>","in_english","yes","<U+0644><U+0643><U+064A> <U+0627><U+0631><U+0628><U+0637> <U+0641><U+064A> <U+0630><U+0647><U+0646><U+064A> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0629> <U+0627><U+0644><U+0645><U+0643><U+062A><U+0648><U+0628><U+0629> <U+0645><U+0639> <U+0627><U+0644><U+0635><U+0648><U+062A> ... <U+0627><U+062D><U+0641><U+0638> <U+0627><U+0644><U+0646><U+0637><U+0642> <U+0648> <U+0627><U+0644><U+0643><U+062A><U+0627><U+0628><U+0629> <U+0645><U+0639><U+0627> <U+0641><U+064A> <U+0646><U+0641><U+0633> <U+0627><U+0644><U+0648><U+0642><U+062A>","Yes",0,"earphones",28,"f","masters","Algerian","Algeria ","Arabic",4,"advanced",12,1,"computer","English",1295.05625,2.563103131,16
"5003023","middle","difficult","easier","no_diff","<U+0644><U+0627> <U+0644><U+0627> <U+064A><U+0648><U+062C><U+062F> <U+0641><U+0631><U+0642>","in_english","yes","<U+0644><U+0643><U+064A> <U+0627><U+0631><U+0628><U+0637> <U+0641><U+064A> <U+0630><U+0647><U+0646><U+064A> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0629> <U+0627><U+0644><U+0645><U+0643><U+062A><U+0648><U+0628><U+0629> <U+0645><U+0639> <U+0627><U+0644><U+0635><U+0648><U+062A> ... <U+0627><U+062D><U+0641><U+0638> <U+0627><U+0644><U+0646><U+0637><U+0642> <U+0648> <U+0627><U+0644><U+0643><U+062A><U+0627><U+0628><U+0629> <U+0645><U+0639><U+0627> <U+0641><U+064A> <U+0646><U+0641><U+0633> <U+0627><U+0644><U+0648><U+0642><U+062A>","Yes",0,"earphones",28,"f","masters","Algerian","Algeria ","Arabic",4,"advanced",12,1,"computer","no",1318.49333333333,2.20976597293333,15
"5010775","middle","difficult","easier","easier","no difference. hearing words make it easier than reading them, especially in Arabic","in_english","yes","to memorise the spelling and its pronunciation","Yes",0.77,"headphones",30,"f","doctorate","Algerian","Algeria ","Arabic",5,"nearnative",11,1,"mobile","Arabic",5545.76923076923,1.37547382192308,13
"5010775","middle","difficult","easier","easier","no difference. hearing words make it easier than reading them, especially in Arabic","in_english","yes","to memorise the spelling and its pronunciation","Yes",0.77,"headphones",30,"f","doctorate","Algerian","Algeria ","Arabic",5,"nearnative",11,1,"mobile","English",4183.66666666667,1.1651762955,12
"5010775","middle","difficult","easier","easier","no difference. hearing words make it easier than reading them, especially in Arabic","in_english","yes","to memorise the spelling and its pronunciation","Yes",0.77,"headphones",30,"f","doctorate","Algerian","Algeria ","Arabic",5,"nearnative",11,1,"mobile","no",2009.28571428571,2.013866746,14
"5010776","start","easier","easier","no_diff","Notba big difference","in_english","yes","To memorize it quickly","Yes",0.2,"no_headphones",26,"f","doctorate","Algerian","Algeria ","Arabic",4,"advanced",12,1,"mobile","Arabic",1826.13333333333,1.27197225925,12
"5010776","start","easier","easier","no_diff","Notba big difference","in_english","yes","To memorize it quickly","Yes",0.2,"no_headphones",26,"f","doctorate","Algerian","Algeria ","Arabic",4,"advanced",12,1,"mobile","English",1802.72,0.7689309396,10
"5010776","start","easier","easier","no_diff","Notba big difference","in_english","yes","To memorize it quickly","Yes",0.2,"no_headphones",26,"f","doctorate","Algerian","Algeria ","Arabic",4,"advanced",12,1,"mobile","no",1639.64615384615,1.45649774584615,13
"5010779","no_see","no_diff","easier","easier","<U+0643><U+0628><U+064A><U+0631>","in_english","yes","<U+0644><U+0623><U+0643><U+062A><U+0628><U+0647><U+0627> <U+0648> <U+0623><U+0642><U+0631><U+0626><U+0647><U+0627> <U+0635><U+062D><U+064A><U+062D><U+0629>","Yes",0.16,"no_headphones",32,"m","bachelors","Egyptian","Egypt","Arabic",3,"intermediate",6,1,"mobile","Arabic",2388.27777777778,1.17156249955556,9
"5010779","no_see","no_diff","easier","easier","<U+0643><U+0628><U+064A><U+0631>","in_english","yes","<U+0644><U+0623><U+0643><U+062A><U+0628><U+0647><U+0627> <U+0648> <U+0623><U+0642><U+0631><U+0626><U+0647><U+0627> <U+0635><U+062D><U+064A><U+062D><U+0629>","Yes",0.16,"no_headphones",32,"m","bachelors","Egyptian","Egypt","Arabic",3,"intermediate",6,1,"mobile","English",1529.9,0.0084142047142857,7
"5010779","no_see","no_diff","easier","easier","<U+0643><U+0628><U+064A><U+0631>","in_english","yes","<U+0644><U+0623><U+0643><U+062A><U+0628><U+0647><U+0627> <U+0648> <U+0623><U+0642><U+0631><U+0626><U+0647><U+0627> <U+0635><U+062D><U+064A><U+062D><U+0629>","Yes",0.16,"no_headphones",32,"m","bachelors","Egyptian","Egypt","Arabic",3,"intermediate",6,1,"mobile","no",1518.45,0.04381867575,8
"5010884","no_see","no_notice","easier","difficult","<U+0627><U+0644><U+0649> <U+062D><U+062F> <U+0643><U+0628><U+064A><U+0631>","in_english","yes","<U+0644><U+0623><U+0646> <U+0627><U+0644><U+0639><U+064A><U+0646> <U+062A><U+062D><U+0641><U+0638> <U+0627><U+064A><U+0636><U+0627> <U+0648><U+0644><U+0639><U+062F><U+0645> <U+0627><U+0644><U+0642><U+062F><U+0631><U+0629> <U+0639><U+0644><U+0649> <U+062A><U+0645><U+064A><U+064A><U+0632> <U+0628><U+0639><U+0636> <U+0627><U+0644><U+0627><U+062D><U+0631><U+0641> <U+0639><U+0646><U+062F> <U+0633><U+0645><U+0627><U+0639><U+0647><U+0627> <U+0641><U+0635><U+0639><U+0628><U+062A> <U+0627><U+0644><U+062A><U+0641><U+0631><U+064A><U+0642> <U+0628><U+064A><U+0646> <U+0646><U+0637><U+0642> <U+0628><U+0639><U+0636> <U+0627><U+0644><U+0643><U+0644><U+0645><U+0627><U+062A>","Yes",0.62,"earphones",37,"f","masters","Egyptian","Egypt","Arabic",4,"advanced",10,1,"mobile","Arabic",2134.025,1.70873542066667,12
