participant_ID,OI.importance,OI.open,content_ID,coder_ID,specific_code
5337282,yes,its help me to draw a vision on my mind and link between the word and the shape,2_11a,LS,Visualisation
4986647,yes,حتى اتخيل شكل الكلمة ,2_12a,LS,Visualisation
5029580,yes,reading the spelling of a word makes it easier to learn,2_13a,LS,Clarifying and consolidating new language
5338811,yes,حتى ترتكز في المخ,2_14a,LS,Clarifying and consolidating new language
5501560,yes,to memorize it in better way,2_15a,LS,Memorisation
5331395,yes,لكي افهمها جيداً ,2_16a,LS,Correct comprehension
5384016,yes,لتثبت في مخيلتي,2_17a,LS,Visualisation
5031282,yes,يسهل تذكرها,2_18a,LS,Remembering
5378097,yes,لكي يسهم البصر في حفظ الكلمة ,2_19a,LS,Memorisation
5003023,yes,لكي اربط في ذهني الكلمة المكتوبة مع الصوت ... احفظ النطق و الكتابة معا في نفس الوقت,2_20a,LS,Visual association
5037277,yes,in order to memorize that word,2_21a,LS,Memorisation
5182923,yes,to know how to spell it ,2_22a,LS,Correct production
5212731,no,ممكن أن أتشتت عن استماع الكلمة بالشكل الصحيح وأركز على شكها فقط,2_23a,LS,It's too much to process
5357676,yes,يساعدني جدا في تذكرها وربطها بكلمة في لغتي الام ولو برابط مضحك خاص بي انا .. لا اخبره لأحد ,2_24a,LS,Remembering
5029581,yes,to pronunce it correctly,2_25a,LS,Correct production
