participant_ID,OI.influence.open,content_ID,coder_ID,general_code,specific_code
5038591,التعلم اسرع بوجود الكلمات المكتوبة,1_24a,C,Positive,Learning
5031281,watching the written words make learning easier as I can link the image with the written word ,1_25a,C,Positive,Associate word and image
5082295,"نعم ، لمدى كثير جدا بالمكتوبه استطيع معرفه النطق الصحيح",1_26a,C,Positive,Clarify what I heard
5335791,رؤية الكلمات العربية سهل تذكرها بالنسبة لي اكثر من الانجليزية,1_27a,C,Positive,Remembering
5442543,"بعض الكلمات لم ألاحظ أنها تبدأ بصوتين متشابهين
مثلا v and f  وبما أن هذه الأصوات غائبة في لغتي في الغالب لن أنتبه لها عند سماعها فقط فالإملاء يساعد في هذه الحالة",1_28a,C,Positive,Connect audio and visual input
5189512,It made it easier to remember the words ,1_1a,LS,Positive,Remembering
5089630,"yes, it makes it easier to remembr the word because you saw its spelling",1_2a,LS,Positive,Remembering
4986648,differentiate betweet the V and F,1_3a,LS,Positive,Differentiate similar sounds/words
5201938,to remember the word ,1_4a,LS,Positive,Remembering
4986647,نعم. انا انسانة بصرية ,1_5a,LS,Positive,Learning
5370466,"لا، أركز فقط على الصوت",1_6a,LS,Negative,Better to focus on sounds
5034149,it's very helpful when I see the word written,1_7a,LS,Positive,Learning
5027661,"yes made a difference , but not that much",1_8a,LS,Neutral,NA
5029568,نعم إلى مدى مهم في تنشيط الذاكرة والحفظ,1_9a,LS,Positive,Remembering
5011969,نعم أحدث فرقا إلي مدى كبير,1_10a,LS,Positive,NA
5359752,"نعم،كتابة الكلمة باللغة الانجليزية تجعل تعلمها اسهل",1_11a,LS,Positive,Learning
5339892,"نعم، أصبحت الفروق واضحة بين F و V.",1_12a,LS,Positive,Differentiate similar sounds/words
5339892,كما كانت القراءة والاستماع في آن وحدا وسيلة للتأكيد على حفظ الكلمة. ,1_13a,LS,Positive,Connect audio and visual input
5499774,"Yes,
How much it helps to learn.",1_14a,LS,Positive,Learning
5338948,جعل تذكرها اسهل ,1_15a,LS,Positive,Remembering
4986649,written words are much easier to remember,1_16a,LS,Positive,Remembering
4986649,and to associate with the right item,1_17a,LS,Positive,Associate word and image
5450539,في الغالب لا يحدث فرق بل ربما يشتت قليلا النظر الى الكلمة المكتوبة والصورة والاستماع,1_18a,LS,Negative,Distracting
5229722,"As some of the words sound similar, seeing it wtitten helped me distinguish between them when hearing them so I would say it helped a lot in that case",1_19a,LS,Positive,Differentiate similar sounds/words
5229722,it also helped with other cases as linking the image and the sound with a written word made it easier to remember.,1_20a,LS,Positive,Associate word and image
5452186,helped me remember the words as I am a visual person,1_21a,LS,Positive,Remembering
5027570,"i can remember the word spelling, so each time i see the picture i remember the word, but this didn't happen to me in all the pictures only in some of them.",1_22a,LS,Positive,Remembering
5037046,الكلمات المكتوبة مصدر تأكيد للكلمة المسموعة,1_23a,LS,Positive,Clarify what I heard
5038591,التعلم اسرع بوجود الكلمات المكتوبة,1_24a,LS,Positive,Learning
5031281,watching the written words make learning easier as I can link the image with the written word ,1_25a,LS,Positive,Associate word and image
5082295,"نعم ، لمدى كثير جدا بالمكتوبه استطيع معرفه النطق الصحيح",1_26a,LS,Positive,Clarify what I heard
5335791,رؤية الكلمات العربية سهل تذكرها بالنسبة لي اكثر من الانجليزية,1_27a,LS,Positive,Remembering
5442543,"بعض الكلمات لم ألاحظ أنها تبدأ بصوتين متشابهين
مثلا v and f  وبما أن هذه الأصوات غائبة في لغتي في الغالب لن أنتبه لها عند سماعها فقط فالإملاء يساعد في هذه الحالة",1_28a,LS,Positive,Differentiate similar sounds/words
