Participant Private ID,see_OI,see_arabic,see_english,no_spell,OI influence - open,spelling preference,OI importance,OI open,spec spell_famel,spec spell_vamel,spec spell_makem,spec spell_nakem,Strategies_Open,statements_associations,statements_context,statements_mental_image,statements_visualise_arabic,statements_visualise_english,statements_repeating,statements_mouthing,statements_action,statements_sublexical,statements_patterns,statements_sounds_letters,statements_first_sound,statements_similarities,statements_grouping,statements_distinguish_english,statements_distinguish_arabic,statements_ignore_english,statements_ignore_arabic,statements_recalling,statements_progress,statements_mistakes,statements_relaxed_arabic,statements_relaxed_english
5341799,start,easier,easier,difficult,"yes, definitely",in_english,yes,to mach what I'm listening to ,famel,vadas,ma..,ka..,"I linkd the shape of the object with a word or letter. for example the last shape in the previous question looks like M. The Madas shape remined me with ""madas"" which means shoes in Makkah & Jeddah people slang. there alos an object looks like fallopian tube.",always,never,sometimes,sometimes,almost_never,always,almost_always,almost_always,almost_never,sometimes,always,always,almost_always,almost_always,almost_always,sometimes,never,almost_never,sometimes,almost_always,always,always,always
5378097,no_see,easier,easier,difficult,تقريبا,in_english,yes,لكي يسهم البصر في حفظ الكلمة ,FAML,VAML,NAST,NAKB,الكتابة أثناء الاستماع ,sometimes,never,always,sometimes,sometimes,sometimes,sometimes,almost_always,never,never,sometimes,never,never,never,almost_never,almost_never,almost_never,sometimes,sometimes,sometimes,almost_always,sometimes,almost_always
5442543,no_see,no_diff,no_notice,difficult,"بعض الكلمات لم ألاحظ أنها تبدأ بصوتين متشابهين
مثلا v and f  وبما أن هذه الأصوات غائبة في لغتي في الغالب لن أنتبه لها عند سماعها فقط فالإملاء يساعد في هذه الحالة",in_english,yes,لصعوبة التفريق أحيانا بين الأصوات,famel,vackle,mackem,nackle,"ربط الكلمة بالشكل حتى لو بشكل بعيد جداا 
مثلا famis شكلها يشبه الجهاز التناسلي للأنثى —>female famist
nackle تشبه مخدة الرقبة neck",almost_always,never,almost_always,never,never,sometimes,sometimes,almost_always,never,never,never,never,never,never,never,never,almost_never,sometimes,sometimes,almost_always,almost_always,almost_never,almost_never
5500029,start,easier,easier,difficult,far,in_arabic,yes,to be familiar with that word,فامل,فامل,ماكوم,ناكوم,not seriously ,always,always,almost_always,always,always,sometimes,sometimes,sometimes,almost_never,almost_never,sometimes,sometimes,almost_always,almost_always,sometimes,sometimes,never,never,sometimes,almost_never,almost_never,always,always
5501560,end,difficult,easier,difficult,wide range,in_english,yes,to memorize it in better way,I forgot,I forgote,I forgot,I forgote,I think you gave me the words that I did not select the correct answers in the beginning so I have no link to remember,almost_always,sometimes,almost_always,never,sometimes,almost_never,almost_never,sometimes,almost_always,sometimes,almost_always,always,almost_never,almost_always,almost_always,never,almost_never,always,sometimes,sometimes,sometimes,never,almost_always
5730442,start,no_diff,easier,no_diff,لا يوجد فرق كبير,in_english,yes,لأستطيع تمييزها عن الكلمات المتشابهة لأن الاستماع للغة الانكليزية غير واضح,Famo فامو,Vamo فامو,Makom ماكوم,Nakom ناكوم,"بالربط المنطقي بين الشكل والكلمة، ولم أركز كثيرا على الحروف المتشابهة كي لا أتشتت كنت أتعامل مع كل كلمة على حدى
ركزت على الصوت، في بعض الأحيان كنت أتعمد تغطية الكتابة بأصابعي وأحاول نطق الكلمة قبل الصوت المسجل",sometimes,never,almost_always,never,sometimes,almost_always,always,sometimes,never,sometimes,almost_always,almost_never,never,almost_always,sometimes,almost_never,sometimes,sometimes,almost_always,almost_always,almost_always,almost_never,sometimes
5607775,no_see,difficult,no_diff,easier,i don't now ,in_english,no,because letters silent ,mast,savs,a,favil,Remember to write,almost_never,sometimes,almost_never,almost_never,sometimes,almost_always,almost_always,almost_never,sometimes,sometimes,sometimes,almost_always,sometimes,almost_always,sometimes,sometimes,sometimes,almost_always,sometimes,sometimes,almost_never,sometimes,sometimes
5359752,no_see,no_diff,easier,difficult,"نعم،كتابة الكلمة باللغة الانجليزية تجعل تعلمها اسهل",in_english,yes,حتى اربط بين املاء الكلمة وصوتها ,famo,famo,ncm,nucm,ربطت صوت الكلمة بصورة في ذهني ,always,almost_never,always,almost_always,always,never,sometimes,never,never,never,sometimes,almost_always,almost_never,almost_never,never,sometimes,sometimes,sometimes,sometimes,almost_always,almost_always,almost_never,almost_always
5089629,start,difficult,easier,easier,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5622524,start,difficult,easier,difficult,فرق بنسبة 75% عن الكلمات الغير مكتوبه,in_english,yes,كي اعرف الاسم الصحيح والنطق,فامس,بوفا,بدكس,بودك,"من خلال حفظ الصورة 
",sometimes,almost_never,almost_always,almost_always,almost_always,almost_always,almost_always,sometimes,almost_always,sometimes,almost_always,always,sometimes,sometimes,almost_always,sometimes,almost_never,almost_never,sometimes,sometimes,almost_always,sometimes,almost_always
5439128,start,easier,easier,no_notice,إلى حد ما,in_english,yes,حتى يكون هناك ربط بين الصوت ورسم الكلمة,nasit,macum,macum,famel,مجرد تذكر بين ماسمعت والصورة,never,never,almost_always,never,almost_always,almost_always,almost_always,never,never,never,almost_always,almost_always,almost_always,never,almost_always,almost_always,never,never,never,never,never,sometimes,sometimes
5059373,start,no_diff,easier,difficult,yes it did because i could remember the words easier ,in_english,yes,i am a visual learner and seeing the words written help me to memorize better ,famos,vamo,macom,nacom,i try to link the words or letters to already known objects or colors ,always,sometimes,always,sometimes,almost_never,almost_always,always,almost_never,never,sometimes,almost_always,almost_always,almost_always,almost_always,almost_never,almost_never,sometimes,always,almost_always,almost_always,almost_always,almost_never,always
5029587,start,no_diff,easier,difficult,for English written forms are helpful as English is not a consistent language (written forms to spoken forms),in_english,yes,for recall support,famit,f,m,nakin,recall,almost_never,never,never,sometimes,sometimes,almost_always,almost_always,almost_never,almost_never,sometimes,sometimes,sometimes,almost_never,sometimes,sometimes,almost_never,almost_never,almost_never,almost_never,almost_never,sometimes,almost_never,sometimes
5037046,no_see,no_diff,easier,difficult,الكلمات المكتوبة مصدر تأكيد للكلمة المسموعة,in_english,yes,"هو بمثابة تثبيت للكلمة، ",فابو,فوبو,قاكام,قيكو,اربط الصورة بالصوت و الكلمة,never,almost_never,almost_never,never,almost_never,almost_always,almost_always,never,never,almost_always,never,never,never,never,never,never,never,never,almost_never,almost_never,sometimes,almost_never,sometimes
5499551,middle,easier,no_notice,difficult,الى مدى بعيد,in_english,yes,لان عندما نرى الكلمه ونسمع نطقها يجعل تعلمنا لها افضل,faml,vamel,maekele,nakl,بالكتابة بالعربية  على ورقة ,sometimes,sometimes,almost_always,almost_always,sometimes,always,almost_always,almost_always,always,almost_always,almost_never,always,never,sometimes,never,sometimes,almost_always,sometimes,almost_never,almost_never,sometimes,almost_always,almost_always
5557028,start,no_diff,easier,no_diff,لا.,in_english,yes,لأنه أسهل.,famis,fadit,makkit,nukkit,من الاستماع.,always,always,always,never,sometimes,never,never,almost_always,always,always,always,always,always,always,almost_never,never,almost_never,almost_always,always,always,always,sometimes,always
5553283,start,easier,easier,difficult,yas,in_english,yes,للربط بين الصورة والصوت والكتابة,vadet,masel,nakep,masel,"عن طريق التركيز فى الصوت والصورة
",almost_never,almost_never,almost_never,sometimes,almost_always,sometimes,almost_never,almost_never,sometimes,sometimes,almost_always,almost_always,sometimes,sometimes,sometimes,almost_never,almost_never,sometimes,sometimes,sometimes,almost_always,sometimes,sometimes
5015277,start,no_diff,easier,difficult,"yes ,i prefer the word written while listening to it , that's how i memorize the word twice written and spoken ",in_english,yes,to memorize it better,"actually i forgot the word , especially this one ",vomin,makin,nakit,i was trying to Link the word with something familiar to me using the picture ,always,almost_always,always,sometimes,always,always,always,almost_always,almost_never,almost_never,almost_never,almost_never,almost_never,almost_never,sometimes,never,never,sometimes,almost_never,almost_never,almost_always,almost_never,always
5462535,middle,difficult,easier,no_notice,"to the remember of the words 
",in_english,yes,To understand the word more and know how to properly use it ,fadis ,n,n,n,at this point my remembering ,almost_always,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes
5011969,start,easier,easier,easier,نعم أحدث فرقا إلي مدى كبير,in_english,yes,لتسهيل نطقها وترسيخه,مقاربة النطق من خلال الصورة,vanam,?,nadaes,ارتباطها بالصور,almost_always,almost_never,always,almost_never,always,sometimes,sometimes,almost_never,almost_never,sometimes,always,never,sometimes,sometimes,sometimes,almost_never,never,always,almost_always,sometimes,almost_always,always,always
5499711,middle,easier,easier,difficult,3,in_english,yes,It is better,mmaF,lwmaF,macaM,macaN,Cockly,never,sometimes,sometimes,almost_always,sometimes,almost_never,sometimes,almost_never,never,sometimes,sometimes,almost_always,almost_always,sometimes,sometimes,almost_always,almost_never,almost_never,sometimes,almost_always,sometimes,almost_always,sometimes
5499553,start,difficult,easier,difficult,نعم الى حدا ما,in_english,yes,لأتعلم القراءة والكتابة في آن واحد,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5365353,no_see,no_notice,easier,easier,no,in_english,no,sound moreimportant,Famo, vemo,madis,nacus,memory,always,almost_never,almost_always,never,almost_always,never,never,almost_never,never,never,sometimes,almost_always,never,almost_never,never,never,never,never,always,almost_always,almost_always,never,always
5500050,start,easier,difficult,easier,just a little ,in_english,yes,to be familiar with that word,fanis,فامل,ناكوم,ناكوم,with that words. not seriously ,always,almost_always,almost_always,always,always,sometimes,sometimes,almost_always,never,almost_never,almost_always,always,always,sometimes,almost_always,almost_always,never,never,almost_never,sometimes,sometimes,always,always
5499774,middle,easier,easier,difficult,"Yes,
How much it helps to learn.",in_english,yes,That help me to learn quickly ,Fatet,I don't remember ,I don't remember ,I don't remember,I didn't remember ,almost_always,sometimes,always,always,always,always,always,always,sometimes,sometimes,almost_always,always,sometimes,sometimes,sometimes,almost_always,never,never,sometimes,always,always,sometimes,always
5499733,no_see,easier,difficult,difficult,مدى كبير,in_english,yes,للسهولة,سماف,سماف,نكام,مكان,بالمحاولة,almost_never,never,never,never,always,sometimes,almost_never,almost_always,always,never,almost_never,almost_never,almost_never,almost_never,sometimes,sometimes,sometimes,almost_never,never,almost_never,almost_always,sometimes,almost_always
5499647,end,difficult,easier,easier,"نعم، الكلمات المكتوبة كانت اصعب",no_OI,no,لكي لا اتشتت بالتركيز على املاء تلك الكلمة,Vamil,Vuckim,Mackim,Masid,"بمحاولة تذكر لفظ تلك الكلمات
",sometimes,sometimes,almost_always,never,always,never,almost_never,sometimes,never,never,almost_always,almost_always,never,sometimes,almost_never,never,always,always,sometimes,almost_always,almost_always,never,always
5450539,middle,no_diff,difficult,no_diff,في الغالب لا يحدث فرق بل ربما يشتت قليلا النظر الى الكلمة المكتوبة والصورة والاستماع,in_english,no,لانه يصعب علي المهمة في حفظ الاملاء للاحرف وحفظ الكلمة المستمعة,fidos,macos,vidos,macom,ربط الاشكل وتشابه الكلمات,almost_never,sometimes,almost_always,always,never,almost_always,sometimes,always,almost_never,almost_always,almost_always,almost_always,never,almost_always,almost_never,almost_never,sometimes,almost_never,sometimes,sometimes,almost_always,almost_never,almost_never
5452186,no_see,difficult,easier,difficult,helped me remember the words as I am a visual person,in_english,yes,I am a visual person. it helps me remember,vaden,vasif,maces,nakif,from remembering the first letter,sometimes,sometimes,almost_always,never,always,always,sometimes,almost_never,sometimes,almost_never,almost_always,always,never,almost_never,almost_always,never,never,always,sometimes,sometimes,sometimes,never,almost_always
5384016,start,easier,easier,easier,متوسط,in_english,yes,لتثبت في مخيلتي,faded,fades,makm,nades,من الصوت,almost_always,almost_never,almost_always,almost_never,almost_always,always,always,almost_never,almost_always,almost_always,almost_always,always,always,always,always,never,almost_never,almost_never,almost_always,almost_always,almost_always,sometimes,sometimes
5370467,no_see,difficult,easier,difficult,كانت الكلمات المكتوبة باللغة الإنجليزية أدعى لتذكرها والربط بينها وبين الصورة ,in_english,yes,لأنه أدعى لتذكرها ,لا أتذكر :(,fames,famts,makem,من خلال تذكر ما سمعته,sometimes,sometimes,always,sometimes,always,always,always,always,sometimes,almost_never,almost_never,almost_never,always,sometimes,sometimes,always,sometimes,sometimes,almost_never,almost_never,almost_never,almost_never,almost_always
5370466,no_see,no_notice,easier,easier,"لا، أركز فقط على الصوت",in_english,yes,لأعرف نطق الكلمة  ,fames,rades,no,no,أحاول تذكر استماعي للكلمة,almost_always,never,sometimes,almost_never,almost_always,always,always,almost_never,almost_always,almost_never,almost_always,sometimes,never,almost_never,almost_never,almost_never,almost_never,almost_never,never,sometimes,sometimes,almost_never,almost_never
5369858,no_see,easier,easier,difficult,إلى نسبة 50%,in_english,yes,لتمييزها عند  قرائتها,vamis,muckle,muckle,nuckle,تخمين لانني لم اركز اطاقا على كتابتها في البداية عندما تم عرضها,always,never,always,always,always,almost_never,almost_never,always,never,always,never,almost_always,sometimes,never,never,never,always,always,always,never,sometimes,almost_never,almost_never
5370516,start,no_diff,easier,easier,رؤية الكلمة الإنجليزية يساعدني أحيانا في استيعاب المسموع وخاصة أن الكلمات الإنجليزية تطابق حروفها الصوت المسموع. قد تؤدي الكلمات العربية الدور نفسه لو كانت الكلمات العربية مشكلة بالحركات,in_english,yes,"كما أشرت في الإجابة على سؤال سابق،، أولا: الكلمات العربية تحتاج إلى حركات التشكيل لتؤدي نفس الغرض الذي تؤديه الكلمات الإنجليزية للصوت نفسه، وثانية في 
 (f and v) اللغة الإنجليزية أصوات غير متوفرة في حروف العربية، فمثلا الأحرف العربية لا تفرق بين صوتي ",فامل,فاكم,فامل,ماكم,"في مرحلة التعليم، كنت أحاول ربط الكلمات التي تختلف في صوت واحد فقط، مثلا كلمة ""ناست"" و""ماست"" تختلفان في الصوت الأول فقط، وهذا سهل علي التعلم",always,never,sometimes,never,almost_never,always,almost_always,never,always,always,always,almost_always,always,always,always,never,never,always,almost_never,almost_never,almost_never,never,always
5359087,no_see,no_notice,easier,no_diff,لا,in_english,yes,أحيانًا أربط بين الشكل والصوت أو المعنى,famel,Vamel,makum,nakum,"أربط بين الصوت والشكل، مثلا هناك شكل ناسيت وهو عبارة عن إناء مثقوب، فربطت ذلك بفعل نسيت في العربيةوالرابط مجازي وهو ثقوب الذاكرة",always,never,almost_always,almost_always,sometimes,almost_always,almost_never,sometimes,never,sometimes,sometimes,almost_always,always,almost_always,sometimes,never,almost_never,never,almost_always,almost_always,sometimes,almost_never,almost_never
5359091,no_see,no_notice,easier,difficult,اذا كانت الكلمة مكتوبة بالانجليزية اسهل,in_english,yes,ترتبط الصورة بشكل املاء الكلمة,فامل,فادت,ماكم,ماكم,تذكر الصوت ,never,sometimes,sometimes,never,almost_always,sometimes,sometimes,almost_never,sometimes,sometimes,almost_always,always,almost_always,sometimes,almost_never,almost_never,almost_never,sometimes,sometimes,sometimes,almost_always,almost_never,almost_always
5337282,middle,easier,easier,difficult,yes it takes time to remember the words and make a connection between each shape and its related words.,in_english,yes,its help me to draw a vision on my mind and link between the word and the shape,famine,vadin,i forget,nakin,"i could not remember most of it
it was a really difficult exercise even i tried to repeat each words by my self",sometimes,never,almost_always,almost_never,almost_always,always,never,never,never,never,sometimes,almost_always,almost_always,almost_never,almost_always,never,never,always,sometimes,almost_never,almost_always,almost_never,sometimes
5357676,no_see,easier,easier,difficult,نعم فقد ساعدني في تذكر شكل الكلمة كثيرا سواء الكلمة بالعربية او الانجليزية فأنا أتخيلها واتذكر لو حتى حرفا واحدا ,in_arabic,yes,يساعدني جدا في تذكرها وربطها بكلمة في لغتي الام ولو برابط مضحك خاص بي انا .. لا اخبره لأحد ,فامل ,مادت,فدم,نجت,احيانا من شكل الصورة احاول اربط شكل الصورة بشي عربي مثل الشي الازرق فقد ربطه بكملة ( نجم) بالعربية لان له أذرع ..,always,sometimes,almost_always,sometimes,almost_never,never,never,almost_always,almost_never,almost_never,almost_never,sometimes,always,almost_never,almost_never,almost_never,almost_never,sometimes,sometimes,almost_always,almost_always,always,always
5342157,no_see,easier,no_notice,difficult,استيعاب لكثر ,in_arabic,yes,حتى استطيع الربط ويسهل المفظ والتأكد من الاملاء للكلمة,"fa,",famus,mikeb,necn,تخمين,almost_always,almost_never,always,always,never,almost_never,never,never,never,never,sometimes,almost_always,always,sometimes,always,never,almost_never,almost_never,almost_always,always,sometimes,sometimes,never
5341797,middle,easier,easier,difficult,"نعم، لأنني أربط بين شكل الكلمة والصورة",in_english,yes,"حتى أعرف النطق الصحيح، لأنني أحيانا لا أفرق بين f و v.

فرؤية الكلمات مكتوبة يساعد على التعلم",فامو,vemo,نكم,نكل,بعض الكلمات ترسخت في ذاكرتي بسبب التكرار,almost_always,never,sometimes,almost_always,almost_always,almost_always,sometimes,almost_never,never,always,always,sometimes,almost_always,sometimes,sometimes,almost_never,sometimes,almost_never,always,almost_always,almost_always,always,sometimes
5339892,end,difficult,easier,difficult,"نعم، أصبحت الفروق واضحة بين F و V. كما كانت القراءة والاستماع في آن وحدا وسيلة للتأكيد على حفظ الكلمة. ",in_english,yes,"حتى أفرق بينها وبين كلمة أخرى شبيهة، وحتى أتعرف عليها في سياق القراءة، ولأتمكن من استخدامها في التحدث والكتابة.  ",famel,vamel,meckam,neckam,"بالاعتماد على الذاكرة فقط وربط الحروف بالشكل
",sometimes,almost_never,almost_always,never,always,never,sometimes,never,never,almost_never,almost_always,sometimes,never,sometimes,almost_never,never,never,almost_always,sometimes,always,always,never,always
5335791,no_see,easier,easier,difficult,رؤية الكلمات العربية سهل تذكرها بالنسبة لي اكثر من الانجليزية,in_arabic,yes,أحياناً أتذكر شكل الكلمة فيساعدني على تذكر الكلمة نفسها مثلا أثناء الاختبارات المدرسية,fermin,vermois,maklum,nucka,بالشكل الاملائي او بربط الكلمة بشيء اعرفه مسبقا ,always,never,always,sometimes,almost_always,always,always,never,never,always,always,always,always,almost_never,always,always,sometimes,almost_never,almost_never,almost_always,always,always,always
5339069,end,easier,easier,difficult,"Yes, I feel that I can remember the written words easier ",in_english,yes,"because it helps in remembering the words, therefore the next time I want to use this word, I visualize how it is written in my brain and then use it.",fimot,vicom,vacom,vocambe,"Depending on my memory of what I heard,",sometimes,almost_never,sometimes,almost_always,sometimes,always,always,never,almost_never,almost_never,always,sometimes,sometimes,almost_never,sometimes,sometimes,sometimes,almost_always,almost_always,almost_always,always,always,sometimes
5337115,no_see,easier,easier,easier,1,in_english,yes,لاحفظها بسرعة,famle,famle,makd,nakad,اتذكر نطقها ومشاهدتها لكن ليست كلها مكتوبة,never,never,never,never,always,always,always,always,always,always,always,always,sometimes,almost_always,always,always,always,always,always,always,always,always,always
5341798,no_see,difficult,easier,no_diff,english makes me remember easier than arabic,in_english,yes,it is printed in my mind with its picture ,famis,fedit,vedit,makim,based on what i saw and heard before,sometimes,never,never,almost_never,always,almost_always,sometimes,never,never,never,almost_always,always,sometimes,sometimes,sometimes,sometimes,never,sometimes,almost_always,always,sometimes,almost_never,always
5341802,start,easier,easier,no_diff,نعم,in_arabic,yes,ربط بين الصوت والشكل,لا أعرف,لا أعرف,لا أعرف,لا أعرف,بالحرف الأول من كل كلمة,sometimes,never,sometimes,almost_always,sometimes,almost_never,sometimes,almost_never,almost_never,almost_never,sometimes,almost_always,sometimes,almost_never,almost_never,sometimes,almost_never,almost_never,almost_always,almost_always,almost_always,sometimes,sometimes
5336140,no_see,difficult,difficult,easier,sometime i get distracted by the written word as it does not make me focus as much on the picture.,in_english,no,beacuse sometimes writing does not refelct how we speak the language. there may be little correspondnce between the writing systme and the sound of a language.  ,famel? ,vadel...probably. what actually distracted me during the experiment is that i noticed there is a bit of on overlap in the names? this made make some mistakes during thr main task not the recognition task which i failed miserably,makum?,nakum,"sometimes repeating the word but not always(this failed me) + creating an image for the pic+word... ex the word famis for me seemed like a famous person who held his\her hand high.. trying possibly to wave to the fans? other than that, some images were easier to remember because of the color(i.e., the orange thingy). ",almost_always,never,always,never,almost_always,sometimes,sometimes,never,almost_never,almost_never,almost_never,almost_never,almost_never,sometimes,almost_never,almost_never,never,never,almost_never,sometimes,sometimes,sometimes,sometimes
5338152,no_see,easier,easier,difficult,نعم,in_english,yes,to know how it is written,vamous,vadet,namet,naket,بالتخمين,sometimes,sometimes,sometimes,almost_never,sometimes,almost_never,almost_always,sometimes,almost_never,sometimes,sometimes,almost_always,almost_never,sometimes,sometimes,almost_never,almost_never,almost_never,sometimes,almost_always,sometimes,sometimes,almost_always
5338811,start,difficult,easier,difficult,نعم,in_english,yes,حتى ترتكز في المخ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5337579,start,easier,easier,difficult,نعم أحدث فرقا كبيرا,in_arabic,yes,لافهم اكثر,Female,Vacom,Nakom,Nakom,رؤية الصورة والكتابة والاستماع,always,almost_always,almost_never,almost_never,sometimes,almost_always,sometimes,almost_never,almost_never,sometimes,always,always,always,always,almost_always,almost_never,almost_never,sometimes,sometimes,sometimes,almost_always,sometimes,almost_always
5338948,start,easier,easier,difficult,جعل تذكرها اسهل ,in_arabic,yes,لا اعلم,madoum,vadosh,makom,nacon,خلال التخمين,always,always,almost_always,sometimes,always,almost_never,almost_always,always,sometimes,always,always,almost_always,always,always,almost_always,almost_always,never,never,always,sometimes,always,sometimes,sometimes
5337166,no_see,easier,easier,difficult,الفرق بدى واضحًا في الكلمات المتشابهه مثل Fan Van ,in_english,yes,يسهل تذكر شكل الحروف ,فامل ,فادس؟ ,نادس,مادس,تذكر النطق,sometimes,never,almost_always,almost_never,sometimes,always,always,never,never,almost_never,almost_always,almost_always,almost_never,sometimes,almost_always,almost_never,almost_never,almost_always,almost_always,almost_always,always,sometimes,sometimes
5337506,start,difficult,easier,easier,اسهل في القراءه,in_english,yes,لاتذكر شكلها في ذهني,vamo,famo,malcum,nalcoum,بالصوت والصوره,sometimes,almost_never,almost_always,never,almost_always,sometimes,sometimes,almost_never,almost_always,almost_never,always,almost_always,never,never,almost_always,never,almost_never,never,always,sometimes,sometimes,never,almost_always
5336602,middle,difficult,easier,difficult,ربط الصور مع الكلمات يجعل عمليه التذكر اسهل,in_english,yes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5337014,middle,no_notice,no_notice,easier,I don't know ,in_english,yes,I can recognise it and remember it faster ,Vainst,Vcom,Vcom,Nakid,Guessing 😁,almost_always,sometimes,always,sometimes,sometimes,never,never,almost_always,never,never,almost_never,always,never,never,never,never,never,never,almost_always,sometimes,sometimes,sometimes,almost_always
